name,code,endonym
Arabic,ar,اَلْعَرَبِيَّةُ
Bulgarian,bg,Български
Chinese (Traditional),zhT,繁體中文
Chinese (Simplified),zhS,简体中文
Czech,cs,Čeština
Danish,da,Dansk
Dutch,nl,Nederlands
English,en,English
Estonian,et,Eesti keel
Finnish,fi,Suomi
French,fr,Français
German,de,Deutsch
Greek,el,Νέα Ελληνικά
Hungarian,hu,Magyar nyelv
Indonesian,id,bahasa Indonesia
Italian,it,Italiano
Japanese,ja,日本語
Korean,ko,한국어
Latvian,lv,Latviski
Lithuanian,lt,Lietuviškai
Norwegian Bokmål,nb,Norsk Bokmål
Polish,pl,Polski
Portuguese,pt,Português
Romanian,ro,Românã
Russian,ru,Русский язык
Slovak,sk,Slovenčina
Slovenian,sl,Slovenščina
Spanish,es,Español
Swedish,sv,Svenska
Turkish,tr,Türkçe
Ukrainian,uk,Українська 
